[2022-12-04 18:13:29,738: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:13:39,789: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:13:49,850: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:13:59,891: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:14:09,937: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:14:20,044: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:14:30,082: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:14:40,118: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:14:50,164: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:15:00,197: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:15:10,241: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:15:20,281: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:15:30,320: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:15:40,362: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:15:50,427: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:16:00,479: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:16:10,514: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:16:20,549: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:16:30,588: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:16:40,622: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:16:50,667: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:17:00,699: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:17:10,738: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:17:20,778: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:17:30,850: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:17:40,895: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:17:50,928: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:18:01,019: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:18:11,057: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:18:21,106: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:18:31,148: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:18:41,202: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:18:51,247: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:19:01,293: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:19:11,355: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:19:21,383: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:19:31,423: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:19:41,457: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:19:51,495: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:20:01,538: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:20:11,577: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:20:21,622: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:20:31,674: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:20:41,741: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:20:51,799: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:21:01,865: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:21:11,919: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:21:21,954: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:21:32,033: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:21:42,534: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:21:52,588: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:22:02,625: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:22:12,681: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:22:22,885: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:22:32,970: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:22:43,053: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:22:53,111: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:23:03,165: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:23:13,205: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:23:23,244: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:23:33,277: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:23:43,306: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:23:53,346: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:24:03,385: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:24:13,427: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:24:23,465: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:24:33,501: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:24:43,545: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:24:53,577: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:25:03,640: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:25:13,697: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:25:23,773: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:25:33,807: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:25:43,880: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:25:53,982: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:26:04,061: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:26:14,111: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
[2022-12-04 18:26:24,140: INFO/MainProcess] Scheduler: Sending due task My Task Check (myproject.celery.debug_task)
